,faithful (MATLAB),S1 ageing index,S2 stale h (non-emp e'),S3 round-up e',"S4 dV/de at (y,z)",S5 alpha_h typo,S6 kapbar indexing,S7 young cost all ages,S8 VF tol 0.1,M1 reversed e-weights,M2 reversed gQ type-weights,M3 same seed kappa draws,M4 no BCwage in sim,M5 all employed at birth,M6 lagged z (husband),M7 quit before loss,R1 ExpI=1 always,R2 drop undefined careers,R3 phantom last cohort,"all solver fixes, sim faithful",all fixes
E/pop (all ages),0.5066690421892817,0.5671336944127708,0.505192417331813,0.0365293614595211,0.5066106043329532,0.5066148802736602,0.43700399087799313,0.7384378563283922,0.37393814139110604,0.5052380273660205,0.5060704104903079,0.5454831812998859,0.5066690421892817,0.505862314709236,0.5065635689851767,0.5066690421892817,0.5066690421892817,0.5066690421892817,0.5066690421892817,0.1257326111744584,0.17566847206385405
E/pop young,0.46958644278606965,0.5804633084577114,0.45733830845771145,0.04774564676616915,0.46957400497512436,0.46953358208955226,0.41745335820895524,0.5603793532338308,0.3749875621890547,0.4693594527363184,0.4790205223880597,0.5021641791044776,0.46958644278606965,0.46782649253731345,0.4694060945273632,0.46958644278606965,0.46958644278606965,0.46958644278606965,0.46958644278606965,0.10538557213930348,0.15205845771144277
E/pop middle,0.5361453201970443,0.5630582922824302,0.5305377668308703,0.030307881773399013,0.5360262725779967,0.5357635467980295,0.4619745484400657,0.8603407224958949,0.36030377668308705,0.5287068965517241,0.5192569786535304,0.576892446633826,0.5361453201970443,0.5361453201970443,0.5363095238095238,0.5361453201970443,0.5361453201970443,0.5361453201970443,0.5361453201970443,0.1461001642036125,0.19844417077175697
E/pop old,0.541458944281525,0.5429838709677419,0.5727565982404692,0.021195014662756598,0.541400293255132,0.5419868035190616,0.43850439882697945,0.940549853372434,0.39581378299120235,0.5479178885630499,0.5462976539589443,0.591524926686217,0.541458944281525,0.541458944281525,0.5410483870967742,0.541458944281525,0.541458944281525,0.541458944281525,0.541458944281525,0.13733137829912023,0.19065982404692083
U/pop (search>NiLFbar),0.00027366020524515394,0.00026938426453819843,0.00027366020524515394,0.00026938426453819843,0.00027366020524515394,0.00027366020524515394,0.0002993158494868871,0.0004960091220068415,0.00046750285062713797,0.00027366020524515394,0.00027366020524515394,0.00027223489167616877,0.00027366020524515394,0.00027366020524515394,0.00027366020524515394,0.00027366020524515394,0.00027366020524515394,0.00027366020524515394,0.00027366020524515394,0.00027223489167616877,0.002290478905359179
hours | E,0.4074230955785295,0.41147367372254395,0.40790656326610697,0.4622462779046297,0.40753358600872447,0.4062432628266063,0.39991812659366355,0.40744517296393334,0.4054094300394108,0.4068500382104453,0.4121219063556275,0.4141391897649394,0.4074230955785295,0.4073791191427671,0.40742568646871946,0.4074230955785295,0.4074230955785295,0.4074230955785295,0.4074230955785295,0.41135854199839544,0.43389412667170335
quit rate/qtr (exp),0.14757161047765607,0.12227544975414208,0.14496558693193373,2.7251584262130075,0.14759046313098045,0.1475022382385916,0.2856043579685132,0.07614033922444871,0.2521235777897061,0.1464988816398036,0.14688273807440258,0.1313628449834443,0.14757161047765607,0.14749136340919838,0.1479424405671018,0.14157816092034656,0.14757161047765607,0.14757161047765607,0.14761049556358757,1.2990640420702189,0.7479066612650803
quit rate/qtr (rec),0.10303442938602679,0.06486771705639427,0.11005590840102762,1.98913669175208,0.10304550955920518,0.10297892662480819,0.22111690374898163,0.04350599573240971,0.20167663838303584,0.10152679011108336,0.10636103540983764,0.09562102369285648,0.10303442938602679,0.10281688823372538,0.10110590610974679,0.09391438399883667,0.10303442938602679,0.10303442938602679,0.10303442938602679,1.1305215641972304,0.6014900888451227
E->nonE/qtr (exp),0.18533277287018876,0.1600719717394997,0.1833596279460973,2.5932111544483436,0.18535525057053479,0.1852967244861327,0.32293282699642584,0.11544677422006262,0.2857817153902404,0.18481508301426666,0.1829086831526774,0.16734396717164154,0.18533277287018876,0.18542214234011878,0.18567524595947443,0.18533277287018876,0.18533277287018876,0.18533277287018876,0.18538610950146642,1.302026092599043,0.7892385507612645
E->nonE/qtr (rec),0.17436353897220586,0.1387672705998802,0.180769076341191,1.8213638396066618,0.1743966735587416,0.1743772997349022,0.29294507069325043,0.11705746550396355,0.266573689210453,0.1732218809505582,0.17508474781963818,0.16387411694479734,0.17436353897220586,0.1745013518959535,0.1724526626277682,0.17436353897220586,0.17436353897220586,0.17436353897220586,0.17436353897220586,1.141219537203556,0.6765292332953257
dE/pop rec-exp (pts),-2.0505421483810404,0.6804833326247373,-3.048521326406306,-0.2762561343977704,-2.0452873833120555,-2.0211610115949794,-3.2502181986706846,-2.7071306394353623,-3.0527810918237974,-1.940047082443358,-2.336846497093348,-2.618745333585615,-2.0505421483810404,-2.062560720253137,-1.7884260115251627,-2.0505421483810404,-2.0505421483810404,-2.0505421483810404,-2.034179125439073,-2.51772404248215,-2.622176516699082
"dE/pop rec-all (pts, MATLAB)",-1.7291058116078006,0.5738129723754426,-2.57064501037505,-0.23295111873541732,-1.724674766468548,-1.7043303665341403,-2.7407245350952847,-2.2827696202806336,-2.574237028781151,-1.6359315938441255,-1.9705300191706132,-2.2082393083208363,-1.7291058116078006,-1.7392403911323795,-1.5080781502590457,-1.7291058116078006,-1.7291058116078006,-1.7291058116078006,-1.7153078030729518,-2.1230537871741397,-2.2111326302976018
dHours rec-exp (%),-0.2875660636148636,-0.2412102668625793,-0.3181842396267731,-0.6903428887084284,-0.30816220271238093,-0.3994755377412451,-0.2671084731188822,-0.3093875898292575,-0.06440719582369026,-0.3967059079868718,0.055293999385575,-0.027868072606718197,-0.2875660636148636,-0.28601198990314547,0.5269770823329578,-0.2875660636148636,-0.2875660636148636,-0.2875660636148636,-0.31653822626379613,-0.037744083073099066,1.892389063826161
wife inc share (exp),0.2217599808006041,0.2451078082408545,0.22244626970771242,0.02121970343994996,0.2217988014776195,0.22116332602713443,0.18364643253530671,0.2984878587213418,0.17302950941606546,0.22046997421561626,0.2313784723165075,0.2485379771349504,0.2217599808006041,0.2214142178735378,0.22109329122284882,0.2217599808006041,0.2217599808006041,0.2217599808006041,0.2217599808006041,0.06198961173721687,0.0974849427538752
share PT,0.24458551157580283,0.3099144079885877,0.22934820494945973,0.0,0.24467687710123273,0.24962574850299402,0.1619047619047619,0.3051299133910726,0.1626543209876543,0.24388435878428466,0.18337484433374845,0.16770186335403728,0.24458551157580283,0.24495892457057505,0.24459358687546606,0.24458551157580283,0.24458551157580283,0.16794871794871793,0.24458551157580283,0.0,0.0
share Lifecycle,0.3308439133681852,0.10734664764621969,0.2760543743464622,0.15356585111920876,0.3305939484497572,0.32971556886227543,0.5226190476190476,0.46135909393737506,0.09506172839506173,0.3206078576723499,0.18586550435865504,0.29911735861392613,0.3308439133681852,0.3308439133681852,0.32923191648023864,0.3308439133681852,0.3308439133681852,0.2271794871794872,0.3308439133681852,0.3871669385535617,0.37
share Career,0.16654219566840925,0.2332382310984308,0.15475775531544092,0.0013014055179593961,0.16660440791931266,0.1620508982035928,0.029166666666666667,0.22085276482345104,0.13364197530864197,0.16382505559673832,0.2580946450809464,0.3069630598234717,0.16654219566840925,0.16616878267363705,0.16554809843400448,0.16654219566840925,0.16654219566840925,0.11435897435897435,0.16654219566840925,0.0,0.02923076923076923
share NiLF,0.2580283793876027,0.34950071326676174,0.33983966538863714,0.8451327433628318,0.2581247665296974,0.25860778443113774,0.2863095238095238,0.012658227848101266,0.608641975308642,0.2716827279466271,0.37266500622665005,0.2262177182085649,0.2580283793876027,0.2580283793876027,0.2606263982102908,0.2580283793876027,0.2580283793876027,0.17717948717948717,0.2580283793876027,0.6128330614464382,0.47615384615384615
share undefined (of all),0.31333333333333335,0.28102564102564104,0.2643589743589744,0.014871794871794871,0.31358974358974356,0.3148717948717949,0.5692307692307692,0.23025641025641025,0.16923076923076924,0.3082051282051282,0.1764102564102564,0.21564102564102564,0.31333333333333335,0.31333333333333335,0.3123076923076923,0.31333333333333335,0.31333333333333335,0.31333333333333335,0.31333333333333335,0.05692307692307692,0.12461538461538461
share person-qtrs e > grid max,0.018778506271379704,0.02729332953249715,0.01919612314709236,0.00029361459521094643,0.01881271379703535,0.01864595210946408,0.0009948688711516533,0.025504561003420752,0.017427309007981756,0.019039338654503992,0.029505416191562144,0.03396807297605473,0.018778506271379704,0.018778506271379704,0.01884692132269099,0.018778506271379704,0.018778506271379704,0.018778506271379704,0.018778506271379704,0.0,0.00745866590649943
mean gQ (working ages),0.20729166666666668,0.2298611111111111,0.21400462962962963,0.4184027777777778,0.20729166666666668,0.20729166666666668,0.18703703703703703,0.07060185185185185,0.28206018518518516,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.20729166666666668,0.30474537037037036,0.30474537037037036
mean gH (working ages),0.45748408250537764,0.4573438689068645,0.4576456166793075,0.46654183834493884,0.457172397110097,0.4564185383051499,0.45742649592143697,0.45779536937692983,0.455604619218457,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.45748408250537764,0.4642223858841209,0.4642223858841209
mean gS (working ages),0.03626285864465481,0.035630973314088515,0.036936301430651665,0.021067550569153624,0.03626361032674088,0.03627011176239703,0.05363574172987751,0.06222286912208381,0.03971135131189565,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.03626285864465481,0.05403429052648162,0.05403429052648162
