,Baseline,RoE_incr,Wgap_dcr,Kap_dcr,Cohort1950,Cohort1960,Cohort1970,Cohort1980
E/pop (all ages),0.5066690421892817,0.6363797035347777,0.6207425883694413,0.5691690421892817,0.5805972063854048,0.6813968072976054,0.6071821550741163,0.5898916761687572
E/pop young,0.46958644278606965,0.6027891791044776,0.5582151741293533,0.5013152985074627,0.5158550995024875,0.6306902985074627,0.5618625621890547,0.539863184079602
E/pop middle,0.5361453201970443,0.6497331691297209,0.6810385878489327,0.5997454844006568,0.6180911330049261,0.6849014778325123,0.6166502463054188,0.6175287356321839
E/pop old,0.541458944281525,0.6917302052785924,0.660483870967742,0.6745454545454546,0.666282991202346,0.7946920821114369,0.6971260997067449,0.6584897360703812
U/pop (search>NiLFbar),0.00027366020524515394,0.0007169327251995438,0.00032639680729760546,0.00031784492588369444,0.00031071835803876853,0.0011887115165336373,0.0005287913340935006,0.00043614595210946406
hours | E,0.4074230955785295,0.4295683423822936,0.4206785506802453,0.407878929392373,0.41452411591410016,0.4150326302511772,0.41781719517941557,0.4184075971661299
quit rate/qtr (exp),0.14757161047765607,0.0967001405399631,0.09618670382806908,0.12313573251254457,0.10606454988663348,0.07731409407785216,0.09599914733274754,0.10017192797812366
quit rate/qtr (rec),0.10303442938602679,0.05552249566586342,0.06633199594640925,0.09097482052985088,0.07079664047932824,0.05499557835868883,0.063597114719178,0.06319824349930649
E->nonE/qtr (exp),0.18533277287018876,0.13493012571160343,0.1348209162842854,0.16211735602842484,0.14331404341299483,0.11534642353266641,0.13406664662606174,0.13761913407530132
E->nonE/qtr (rec),0.17436353897220586,0.12753000817584226,0.13831648272393904,0.16205406048679902,0.1411993048802259,0.12551708260152586,0.1349464095734602,0.13371954784362372
dE/pop rec-exp (pts),-2.0505421483810404,-1.3486004771355642,-2.394193039669257,-3.29540777113414,-1.900484552974857,-3.195748831066858,-2.3199345288867024,-1.6041602828521961
"dE/pop rec-all (pts, MATLAB)",-1.7291058116078006,-1.1371982401791825,-2.018887103721101,-2.7788303367401346,-1.6025707581841964,-2.694793608899604,-1.9562691162503976,-1.3526973195942982
dHours rec-exp (%),-0.2875660636148636,0.4540959074646356,0.1983289212571293,-0.2103380102322694,-0.15092201516954118,-0.042527557444427266,-0.09224392550691851,-0.04603249990238201
wife inc share (exp),0.2217599808006041,0.3001840996386045,0.28131672117515666,0.24530732154755486,0.25785234467684415,0.2952154952539624,0.2722746978571893,0.2677353736166862
share PT,0.24458551157580283,0.15808344198174706,0.25311475409836065,0.27837185236288375,0.23419354838709677,0.2619734564339296,0.22307435811937312,0.176625949158138
share Lifecycle,0.3308439133681852,0.19784876140808344,0.2960655737704918,0.27802690582959644,0.32870967741935486,0.1436814772071552,0.20273424474824941,0.26543413667877186
share Career,0.16654219566840925,0.47979139504563234,0.31836065573770495,0.1848913418420145,0.2658064516129032,0.40161569532602426,0.3751250416805602,0.36711786068009244
share NiLF,0.2580283793876027,0.16427640156453716,0.13245901639344262,0.25870989996550536,0.17129032258064517,0.19272937103289095,0.19906635545181728,0.1908220534829977
share undefined (of all),0.31333333333333335,0.21333333333333335,0.21794871794871795,0.25666666666666665,0.20512820512820512,0.11128205128205128,0.23102564102564102,0.22333333333333333
share person-qtrs e > grid max,0.018778506271379704,0.04971351197263398,0.03561145952109464,0.023851197263397947,0.032769384264538196,0.05521949828962372,0.04283352337514253,0.041584948688711515
mean gQ (working ages),0.20729166666666668,0.15833333333333333,0.16469907407407408,0.1712962962962963,0.18344907407407407,0.13275462962962964,0.18263888888888888,0.18900462962962963
mean gH (working ages),0.45748408250537764,0.47027078873086237,0.4687052778703841,0.4572566593567178,0.4599680035447356,0.45587618476989344,0.4553467948614967,0.45582547250697836
mean gS (working ages),0.03626285864465481,0.047335589921565994,0.04379477984619437,0.04197834384474114,0.04147009488987361,0.05463684007899335,0.043299995399500565,0.04206770261939628
"VFI iters type0 (y,m,o)","[3, 47, 46]","[3, 45, 45]","[3, 46, 43]","[3, 45, 45]","[3, 44, 46]","[3, 33, 44]","[3, 42, 43]","[3, 35, 45]"
tau_wf,0.8,0.8,0.8400000000000001,0.8,0.786,0.762,0.7200000000000001,0.7180000000000001
gam_e,0.5,0.6,0.5,0.5,0.5475,0.575,0.675,0.685
kapscale,1.0,1.0,1.0,0.9,1.01,0.84,1.0,1.037
