 km_max  kb_max    obj  E/pop     LC     PT    Car   NiLF   quit    wsh
   3.00   0.060   7.55  0.713  0.018  0.170  0.580  0.232 0.0227  0.401  [5s]
   3.00   0.120   3.82  0.513  0.036  0.176  0.352  0.435 0.0503  0.330  [5s]
   3.00   0.240  16.22  0.273  0.018  0.104  0.163  0.716 0.0883  0.207  [5s]
   4.50   0.060   4.60  0.673  0.057  0.166  0.495  0.282 0.0271  0.384  [5s]
   4.50   0.120   4.16  0.479  0.072  0.146  0.297  0.485 0.0543  0.309  [5s]
   4.50   0.240  21.10  0.250  0.031  0.101  0.117  0.751 0.0981  0.188  [5s]
   6.00   0.060   3.12  0.648  0.086  0.172  0.432  0.310 0.0292  0.371  [5s]
   6.00   0.120   4.54  0.461  0.092  0.140  0.260  0.509 0.0565  0.297  [5s]
   6.00   0.240  22.83  0.240  0.051  0.090  0.097  0.762 0.1014  0.178  [5s]
   8.00   0.060   2.27  0.620  0.124  0.158  0.380  0.339 0.0314  0.357  [5s]
   8.00   0.120   4.90  0.446  0.113  0.141  0.221  0.525 0.0585  0.286  [5s]
   8.00   0.240  23.84  0.233  0.060  0.085  0.082  0.773 0.1026  0.171  [5s]
